date,confirmed
2020-01-20,0
2020-01-21,0
2020-01-22,1
2020-01-23,15
2020-01-24,39
2020-01-25,60
2020-01-26,70
2020-01-27,106
2020-01-28,152
2020-01-29,200
2020-01-30,237
2020-01-31,297
2020-02-01,340
2020-02-02,408
2020-02-03,480
2020-02-04,530
2020-02-05,591
2020-02-06,665
2020-02-07,733
2020-02-08,779
2020-02-09,830
2020-02-10,860
2020-02-11,888
2020-02-12,910
2020-02-13,934
2020-02-14,950
2020-02-15,962
2020-02-16,973
2020-02-17,982
2020-02-18,986
2020-02-19,987
2020-02-20,988
2020-02-21,989
2020-02-22,989
2020-02-23,989
2020-02-24,989
2020-02-25,989
2020-02-26,989
2020-02-27,990
2020-02-28,990
2020-02-29,990
2020-03-01,990
2020-03-02,990
2020-03-03,990
2020-03-04,990
2020-03-05,990
2020-03-06,990
2020-03-07,990
2020-03-08,990
